,State,Year,Employed,Unemployed,HPI_NSA,HPI_SA,Total_Cases,Total_Death
84,KS,2021,1447328.0,48344.0,310.5,309.64,128162938.0,1941543.0
85,KY,2017,1955238.0,98168.0,223.1,223.54,,
86,KY,2018,1968402.0,86518.0,234.12,234.6,,
87,KY,2019,1986176.0,84240.0,245.66,246.13,,
88,KY,2020,1887000.0,129806.0,264.14,264.68,19267914.0,387583.0
89,KY,2021,1941738.0,95208.0,302.4,302.97,196738397.0,3192659.0
90,LA,2017,2000490.0,108000.0,269.48,268.3,,
91,LA,2018,2010720.0,101778.0,275.61,274.41,,
92,LA,2019,2010407.0,98008.0,283.36,282.13,,
93,LA,2020,1882666.0,179510.0,296.47,295.17,35105987.0,1184366.0
94,LA,2021,1949404.0,113092.0,325.16,323.74,205929048.0,4217664.0
95,MA,2017,3582389.0,142130.0,266.79,265.65,,
96,MA,2018,3678446.0,131428.0,282.74,281.48,,
97,MA,2019,3714548.0,117400.0,296.02,294.7,,
98,MA,2020,3390251.0,351434.0,318.74,317.36,36800376.0,2265434.0
99,MA,2021,3535476.0,215392.0,370.18,368.57,263687704.0,6443316.0
100,MD,2017,3114580.0,129316.0,239.5,237.69,,
101,MD,2018,3142323.0,118746.0,246.9,245.04,,
102,MD,2019,3212154.0,114342.0,252.42,250.49,,
103,MD,2020,3012106.0,215420.0,268.8,266.78,29041682.0,949159.0
104,MD,2021,2992228.0,183323.0,303.45,301.14,171849572.0,3509225.0
105,ME,2017,680164.0,23708.0,230.9,232.09,,
106,ME,2018,681335.0,21804.0,245.95,247.24,,
107,ME,2019,682271.0,19359.0,262.03,263.41,,
108,ME,2020,641264.0,33967.0,286.78,288.32,1649297.0,35909.0
109,ME,2021,650336.0,31550.0,346.63,348.36,27366796.0,329793.0
110,MI,2017,4685854.0,225398.0,207.56,206.45,,
111,MI,2018,4734160.0,206158.0,222.98,221.76,,
112,MI,2019,4766052.0,203245.0,236.18,234.88,,
113,MI,2020,4361877.0,484142.0,254.7,253.31,61428107.0,1923045.0
114,MI,2021,4495653.0,280462.0,294.73,293.11,373501215.0,7514300.0
115,MN,2017,2963831.0,107178.0,265.4,264.54,,
116,MN,2018,2989056.0,96574.0,282.0,281.08,,
117,MN,2019,3021989.0,107859.0,297.07,296.08,,
118,MN,2020,2925516.0,197466.0,317.43,316.36,29929745.0,532365.0
119,MN,2021,2918393.0,102968.0,359.76,358.5,233228156.0,2821300.0
120,MO,2017,2939310.0,114223.0,219.7,218.75,,
121,MO,2018,2949912.0,95955.0,233.01,232.03,,
122,MO,2019,2976647.0,95436.0,245.64,244.6,,
123,MO,2020,2853352.0,183811.0,266.38,265.27,33830563.0,623276.0
124,MO,2021,2928370.0,134084.0,306.92,305.6,250277309.0,3762293.0
125,MS,2017,1206102.0,66587.0,196.01,196.66,,
126,MS,2018,1205738.0,62698.0,203.21,203.89,,
127,MS,2019,1207544.0,69602.0,209.45,210.14,,
128,MS,2020,1145212.0,98306.0,223.17,223.91,21566880.0,687046.0
129,MS,2021,1184402.0,69838.0,252.32,253.14,137482900.0,2968984.0
130,MT,2017,506872.0,21570.0,368.06,366.06,,
131,MT,2018,513858.0,19963.0,390.29,388.21,,
132,MT,2019,522901.0,19384.0,410.55,408.34,,
133,MT,2020,511614.0,31302.0,454.56,452.24,5010619.0,58808.0
134,MT,2021,531200.0,18544.0,557.24,554.22,46807290.0,652286.0
135,NC,2017,4646212.0,219692.0,220.78,220.09,,
136,NC,2018,4719021.0,196950.0,236.35,235.61,,
137,NC,2019,4808273.0,191543.0,251.02,250.24,,
138,NC,2020,4505466.0,343432.0,272.45,271.61,46517541.0,802975.0
139,NC,2021,4721200.0,238478.0,325.21,324.18,402933940.0,5302664.0
140,ND,2017,404904.0,10863.0,304.63,303.92,,
141,ND,2018,403001.0,9764.0,308.61,307.89,,
142,ND,2019,406305.0,8866.0,318.58,317.79,,
143,ND,2020,390504.0,21048.0,329.36,328.53,6765011.0,87243.0
144,ND,2021,391256.0,14933.0,360.38,359.44,43760496.0,575847.0
145,NE,2017,992742.0,30424.0,244.02,243.04,,
146,NE,2018,1004263.0,29954.0,260.18,259.15,,
147,NE,2019,1016907.0,31916.0,272.86,271.76,,
148,NE,2020,1001426.0,43118.0,293.88,292.74,13131749.0,130184.0
149,NE,2021,1022663.0,26374.0,337.2,335.87,87306429.0,881050.0
150,NH,2017,736918.0,21214.0,233.21,233.5,,
151,NH,2018,747414.0,20214.0,246.12,246.43,,
152,NH,2019,756267.0,20202.0,260.34,260.66,,
153,NH,2020,708567.0,51203.0,285.4,285.8,2724523.0,102974.0
154,NH,2021,728941.0,26482.0,340.99,341.44,38617785.0,499852.0
155,NJ,2017,4406152.0,208803.0,223.88,224.14,,
156,NJ,2018,4426618.0,183156.0,233.3,233.57,,
157,NJ,2019,4528168.0,158533.0,241.13,241.4,,
158,NJ,2020,4203278.0,439668.0,260.28,260.58,59506997.0,3817302.0
159,NJ,2021,4365397.0,295691.0,303.05,303.4,370909011.0,9407178.0
160,NM,2017,890988.0,57592.0,229.68,228.74,,
161,NM,2018,903758.0,46611.0,239.28,238.3,,
162,NM,2019,916149.0,47654.0,252.23,251.2,,
163,NM,2020,860107.0,75600.0,274.82,273.69,9585260.0,207114.0
164,NM,2021,879330.0,64029.0,315.23,313.91,82114798.0,1565267.0
165,NV,2017,1372024.0,72242.0,225.76,224.52,,
166,NV,2018,1427372.0,65460.0,255.86,254.44,,
167,NV,2019,1479776.0,61996.0,272.05,270.54,,
168,NV,2020,1299640.0,203208.0,290.5,288.91,18263502.0,323089.0
169,NV,2021,1395940.0,108822.0,349.07,347.1,131314441.0,2202484.0
170,NY,2017,9382750.0,455420.0,227.56,226.51,,
171,NY,2018,9440487.0,401780.0,240.52,239.43,,
172,NY,2019,9502624.0,377586.0,250.33,249.2,,
173,NY,2020,8631277.0,943760.0,268.73,267.52,60254386.0,2301126.0
174,NY,2021,8786282.0,655178.0,309.09,307.65,431719701.0,7172948.0
175,OH,2017,5529481.0,289500.0,185.85,184.9,,
176,OH,2018,5553769.0,261784.0,197.63,196.61,,
177,OH,2019,5626327.0,244924.0,209.49,208.41,,
178,OH,2020,5263036.0,471145.0,228.86,227.7,44872380.0,1062208.0
179,OH,2021,5441880.0,295006.0,262.78,261.44,442495546.0,7330858.0
180,OK,2017,1752736.0,73540.0,229.38,228.04,,
181,OK,2018,1773128.0,59898.0,236.6,235.2,,
182,OK,2019,1782686.0,57514.0,246.83,245.41,,
183,OK,2020,1721528.0,114340.0,264.76,263.21,22962642.0,345324.0
184,OK,2021,1783080.0,71154.0,302.16,300.39,186913216.0,2954628.0
185,OR,2017,1991504.0,84180.0,389.4,388.2,,
186,OR,2018,1996791.0,83410.0,417.23,415.95,,
187,OR,2019,2017380.0,77598.0,437.2,435.84,,
188,OR,2020,1944845.0,159714.0,473.18,471.76,8340435.0,127845.0
189,OR,2021,2036138.0,112196.0,560.39,558.6,88800645.0,1147500.0
190,PA,2017,6161914.0,323341.0,210.95,210.12,,
191,PA,2018,6210097.0,290051.0,221.44,220.57,,
192,PA,2019,6266509.0,294267.0,232.72,231.79,,
193,PA,2020,5893582.0,589188.0,249.88,248.89,47572446.0,1983222.0
194,PA,2021,5999444.0,406746.0,285.28,284.12,457469178.0,10017116.0
195,PR,2017,977602.0,118942.0,,,,
196,PR,2018,982170.0,99528.0,,,,
197,PR,2019,1000366.0,90492.0,,,,
198,PR,2021,1079295.0,92818.0,,,53292640.0,938651.0
199,RI,2017,542552.0,25593.0,213.38,213.23,,
200,RI,2018,547994.0,23158.0,228.49,228.3,,
201,RI,2019,552057.0,20324.0,240.42,240.23,,
202,RI,2020,514912.0,52144.0,260.89,260.68,7077376.0,262146.0
203,RI,2021,538969.0,32064.0,310.49,310.14,53655935.0,973993.0
204,SC,2017,2166706.0,95061.0,223.2,222.65,,
205,SC,2018,2202380.0,77054.0,238.82,238.24,,
206,SC,2019,2256315.0,64878.0,252.73,252.12,,
207,SC,2020,2191332.0,139534.0,272.81,272.15,29714362.0,614385.0
208,SC,2021,2269814.0,94554.0,321.06,320.27,244123204.0,3813059.0
209,SD,2017,441450.0,13889.0,278.62,277.98,,
210,SD,2018,444572.0,12762.0,294.48,293.8,,
211,SD,2019,448618.0,12992.0,308.88,308.17,,
212,SD,2020,441551.0,20076.0,328.15,327.38,7219654.0,86844.0
213,SD,2021,453510.0,14504.0,384.52,383.61,47906702.0,743898.0
214,TN,2017,3077514.0,119520.0,239.5,238.82,,
215,TN,2018,3147029.0,113836.0,257.03,256.32,,
